SUN FEB 10 2013	TAMPA BAY	NY RANGERS
SUN FEB 10 2013	NEW JERSEY	PITTSBURGH
SUN FEB 10 2013	CHICAGO	NASHVILLE
MON FEB 11 2013	PHILADELPHIA	TORONTO
MON FEB 11 2013	CAROLINA	NY ISLANDERS
MON FEB 11 2013	SAN JOSE	COLUMBUS
MON FEB 11 2013	LOS ANGELES	ST. LOUIS
MON FEB 11 2013	PHOENIX	COLORADO
MON FEB 11 2013	MINNESOTA	CALGARY
TUE FEB 12 2013	CAROLINA	NEW JERSEY
TUE FEB 12 2013	NY RANGERS	BOSTON
TUE FEB 12 2013	BUFFALO	OTTAWA
TUE FEB 12 2013	MONTRÉAL	TAMPA BAY
TUE FEB 12 2013	WASHINGTON	FLORIDA
TUE FEB 12 2013	PHILADELPHIA	WINNIPEG
TUE FEB 12 2013	SAN JOSE	NASHVILLE
TUE FEB 12 2013	ANAHEIM	CHICAGO
TUE FEB 12 2013	DALLAS	EDMONTON
TUE FEB 12 2013	MINNESOTA	VANCOUVER
WED FEB 13 2013	OTTAWA	PITTSBURGH
WED FEB 13 2013	ST. LOUIS	DETROIT
WED FEB 13 2013	DALLAS	CALGARY
THU FEB 14 2013	NY ISLANDERS	NY RANGERS
THU FEB 14 2013	TORONTO	CAROLINA
THU FEB 14 2013	WASHINGTON	TAMPA BAY
THU FEB 14 2013	MONTRÉAL	FLORIDA
THU FEB 14 2013	PHOENIX	NASHVILLE
THU FEB 14 2013	COLORADO	MINNESOTA
FRI FEB 15 2013	BOSTON	BUFFALO
FRI FEB 15 2013	PHILADELPHIA	NEW JERSEY
FRI FEB 15 2013	PITTSBURGH	WINNIPEG
FRI FEB 15 2013	ANAHEIM	DETROIT
FRI FEB 15 2013	SAN JOSE	CHICAGO
FRI FEB 15 2013	ST. LOUIS	CALGARY
FRI FEB 15 2013	DALLAS	VANCOUVER
FRI FEB 15 2013	COLUMBUS	LOS ANGELES
SAT FEB 16 2013	TAMPA BAY	FLORIDA
SAT FEB 16 2013	OTTAWA	TORONTO
SAT FEB 16 2013	PHILADELPHIA	MONTRÉAL
SAT FEB 16 2013	NEW JERSEY	NY ISLANDERS
SAT FEB 16 2013	ANAHEIM	NASHVILLE
SAT FEB 16 2013	COLUMBUS	PHOENIX
SAT FEB 16 2013	COLORADO	EDMONTON
SUN FEB 17 2013	PITTSBURGH	BUFFALO
SUN FEB 17 2013	LOS ANGELES	CHICAGO
SUN FEB 17 2013	BOSTON	WINNIPEG
SUN FEB 17 2013	CALGARY	DALLAS
SUN FEB 17 2013	DETROIT	MINNESOTA
SUN FEB 17 2013	WASHINGTON	NY RANGERS
SUN FEB 17 2013	ST. LOUIS	VANCOUVER
MON FEB 18 2013	OTTAWA	NEW JERSEY
MON FEB 18 2013	PHILADELPHIA	NY ISLANDERS
MON FEB 18 2013	NASHVILLE	COLORADO
MON FEB 18 2013	CAROLINA	MONTRÉAL
MON FEB 18 2013	TORONTO	FLORIDA
MON FEB 18 2013	CALGARY	PHOENIX
MON FEB 18 2013	COLUMBUS	ANAHEIM
TUE FEB 19 2013	WINNIPEG	BUFFALO
TUE FEB 19 2013	MONTRÉAL	NY RANGERS
TUE FEB 19 2013	NY ISLANDERS	OTTAWA
TUE FEB 19 2013	TORONTO	TAMPA BAY
TUE FEB 19 2013	SAN JOSE	ST. LOUIS
TUE FEB 19 2013	DETROIT	NASHVILLE
TUE FEB 19 2013	VANCOUVER	CHICAGO
TUE FEB 19 2013	LOS ANGELES	EDMONTON
WED FEB 20 2013	PHILADELPHIA	PITTSBURGH
WED FEB 20 2013	ST. LOUIS	COLORADO
WED FEB 20 2013	LOS ANGELES	CALGARY
THU FEB 21 2013	BUFFALO	TORONTO
THU FEB 21 2013	FLORIDA	PHILADELPHIA
THU FEB 21 2013	NEW JERSEY	WASHINGTON
THU FEB 21 2013	WINNIPEG	CAROLINA
THU FEB 21 2013	NY ISLANDERS	MONTRÉAL
THU FEB 21 2013	NY RANGERS	OTTAWA
THU FEB 21 2013	BOSTON	TAMPA BAY
THU FEB 21 2013	COLUMBUS	DETROIT
THU FEB 21 2013	VANCOUVER	DALLAS
THU FEB 21 2013	MINNESOTA	EDMONTON
FRI FEB 22 2013	FLORIDA	PITTSBURGH
FRI FEB 22 2013	VANCOUVER	NASHVILLE
FRI FEB 22 2013	SAN JOSE	CHICAGO
SAT FEB 23 2013	NEW JERSEY	WASHINGTON
SAT FEB 23 2013	WINNIPEG	PHILADELPHIA
SAT FEB 23 2013	PHOENIX	EDMONTON
SAT FEB 23 2013	COLORADO	LOS ANGELES
SAT FEB 23 2013	NY ISLANDERS	BUFFALO
SAT FEB 23 2013	NY RANGERS	MONTRÉAL
SAT FEB 23 2013	TORONTO	OTTAWA
SAT FEB 23 2013	TAMPA BAY	CAROLINA
SAT FEB 23 2013	NASHVILLE	DETROIT
SAT FEB 23 2013	COLUMBUS	ST. LOUIS
SAT FEB 23 2013	SAN JOSE	DALLAS
SAT FEB 23 2013	MINNESOTA	CALGARY
SUN FEB 24 2013	BOSTON	FLORIDA
SUN FEB 24 2013	WINNIPEG	NEW JERSEY
SUN FEB 24 2013	VANCOUVER	DETROIT
SUN FEB 24 2013	CAROLINA	NY ISLANDERS
SUN FEB 24 2013	COLUMBUS	CHICAGO
